id,apple,samsung,amazon,others,model,screensize,storage,isnight,returnsaccepted,returnsdays,sellerfeedbackscore,bids,price,ram,resolution,selleritemssold,ispolice,sellerlifepercent,selleryearpercent,isused,isbroken,deliveryspeed,startingprice,issold,endtime,bidcount,ruletriggered,increment,nobid,residual,residual2,increment_residual
115546954283,1,0,0,0,ipad pro 5,12.9,128,0,0,-1,459,2.7240636,2.7240636,-1,-1,278,0,100,100,0,0,1,2.0529351,1,2022-10-08 10:52:01+00:00,7,0,2.7911532,1,.50648761,.50640655,.57357717
115546954283,1,0,0,0,ipad pro 5,12.9,128,0,0,-1,459,2.6835754,2.7240636,-1,-1,278,0,100,100,0,0,1,2.0529351,1,2022-10-08 10:52:01+00:00,7,0,2.7911532,2,.46599936,.4659183,.57357717
115546954283,1,0,0,0,ipad pro 5,12.9,128,0,0,-1,459,2.4554713,2.7240636,-1,-1,278,0,100,100,0,0,1,2.0529351,1,2022-10-08 10:52:01+00:00,7,0,2.7911532,3,.23789525,.23781419,.57357717
115546954283,1,0,0,0,ipad pro 5,12.9,128,0,0,-1,459,2.3917365,2.7240636,-1,-1,278,0,100,100,0,0,1,2.0529351,1,2022-10-08 10:52:01+00:00,7,0,2.7911532,4,.17416048,.17407942,.57357717
115546954283,1,0,0,0,ipad pro 5,12.9,128,0,0,-1,459,2.3212926,2.7240636,-1,-1,278,0,100,100,0,0,1,2.0529351,1,2022-10-08 10:52:01+00:00,7,0,2.7911532,5,.10371661,.10363555,.57357717
115546954283,1,0,0,0,ipad pro 5,12.9,128,0,0,-1,459,2.1200244,2.7240636,-1,-1,278,0,100,100,0,0,1,2.0529351,1,2022-10-08 10:52:01+00:00,7,0,2.7911532,6,-.097551584,-.097632647,.57357717
115546954283,1,0,0,0,ipad pro 5,12.9,128,0,0,-1,459,2.0529351,2.7240636,-1,-1,278,0,100,100,0,0,1,2.0529351,1,2022-10-08 10:52:01+00:00,7,0,2.7911532,7,-.1646409,-.16472197,.57357717
115574542667,0,1,0,0,galaxy tab a6 t580,10.1,16,0,0,-1,558,1.6007775,1.6007775,2,-1,48,0,100,100,1,0,1,.71087503,1,2022-10-28 13:06:41+00:00,7,1,1.6426553,1,.20517385,.20557916,.2470516
115574542667,0,1,0,0,galaxy tab a6 t580,10.1,16,0,0,-1,558,1.5588998,1.6007775,2,-1,48,0,100,100,1,0,1,.71087503,1,2022-10-28 13:06:41+00:00,7,1,1.6426553,2,.1632961,.16370142,.2470516
115574542667,0,1,0,0,galaxy tab a6 t580,10.1,16,0,0,-1,558,1.4332664,1.6007775,2,-1,48,0,100,100,1,0,1,.71087503,1,2022-10-28 13:06:41+00:00,7,1,1.6426553,3,.037662745,.038068056,.2470516
